code,name,yomi,prefecture_code
25005,甲賀郡,こうかぐん,25
25006,伊香郡,いかぐん,25
25007,東浅井郡,ひがしあざいぐん,25
25008,滋賀郡,しがぐん,25
25009,蒲生郡,がもうぐん,25
25010,栗太郡,くりたぐん,25
25011,神崎郡,かんざきぐん,25
25012,犬上郡,いぬかみぐん,25
26001,与謝郡,よさぐん,26
26002,京都市,きょうとし,26
26003,乙訓郡,おとくにぐん,26
26004,船井郡,ふないぐん,26
26005,竹野郡,たけのぐん,26
26006,中郡,なかぐん,26
26007,相楽郡,そうらくぐん,26
26008,天田郡,あまたぐん,26
26009,北桑田郡,きたくわだぐん,26
26010,綴喜郡,つづきぐん,26
26011,久世郡,くせぐん,26
26012,加佐郡,かさぐん,26
26013,熊野郡,くまのぐん,26
27001,堺市,さかいし,27
27002,泉南郡,せんなんぐん,27
27003,大阪市,おおさかし,27
27004,豊能郡,とよのぐん,27
27005,北河内郡,きたかわちぐん,27
27006,南河内郡,みなみかわちぐん,27
28001,佐用郡,さようぐん,28
28002,多紀郡,たきぐん,28
28003,津名郡,つなぐん,28
28004,氷上郡,ひかみぐん,28
28005,神戸市,こうべし,28
28006,美方郡,みかたぐん,28
28007,養父郡,やぶぐん,28
28008,宍粟郡,しそうぐん,28
28009,飾磨郡,しかまぐん,28
28010,三原郡,みはらぐん,28
28011,美嚢郡,みのうぐん,28
28012,城崎郡,きのさきぐん,28
28013,加東郡,かとうぐん,28
28014,神崎郡,かんざきぐん,28
28015,多可郡,たかぐん,28
28016,朝来郡,あさごぐん,28
28017,出石郡,いずしぐん,28
28018,印南郡,いんなみぐん,28
28019,揖保郡,いぼぐん,28
29001,宇陀郡,うだぐん,29
29002,磯城郡,しきぐん,29
29003,北葛城郡,きたかつらぎぐん,29
29004,山辺郡,やまべぐん,29
29005,生駒郡,いこまぐん,29
29006,吉野郡,よしのぐん,29
29007,添上郡,そえかみぐん,29
30001,西牟婁郡,にしむろぐん,30
30002,海草郡,かいそうぐん,30
30003,東牟婁郡,ひがしむろぐん,30
30004,日高郡,ひだかぐん,30
30005,有田郡,ありだぐん,30
30006,那賀郡,ながぐん,30
30007,伊都郡,いとぐん,30
31001,東伯郡,とうはくぐん,31
31002,西伯郡,さいはくぐん,31
31003,八頭郡,やずぐん,31
31004,気高郡,けたかぐん,31
31005,岩美郡,いわみぐん,31
31006,日野郡,ひのぐん,31
32001,仁多郡,にたぐん,32
32002,八束郡,やつかぐん,32
32003,美濃郡,みのぐん,32
32004,邇摩郡,にまぐん,32
32005,鹿足郡,かのあしぐん,32
32006,邑智郡,おおちぐん,32
32007,簸川郡,ひかわぐん,32
32008,那賀郡,なかぐん,32
32009,隠岐郡,おきぐん,32
32010,大原郡,おおはらぐん,32
32011,能義郡,のぎぐん,32
32012,飯石郡,いいしぐん,32
33001,浅口郡,あさくちぐん,33
33002,苫田郡,とまたぐん,33
33003,赤磐郡,あかいわぐん,33
33004,都窪郡,つくぼぐん,33
33005,加賀郡,かがぐん,33
33006,和気郡,わけぐん,33
33007,吉備郡,きびぐん,33
33008,岡山市,おかやまし,33
33009,久米郡,くめぐん,33
33010,御津郡,みつぐん,33
33011,英田郡,あいだぐん,33
33012,上道郡,じょうとうぐん,33
33013,真庭郡,まにわぐん,33
33014,後月郡,しつきぐん,33
33015,邑久郡,おくぐん,33
33016,阿哲郡,あてつぐん,33
33017,上房郡,じょうぼうぐん,33
33018,川上郡,かわかみぐん,33
33019,勝田郡,かつたぐん,33
33020,小田郡,おだぐん,33
33021,児島郡,こじまぐん,33
34001,双三郡,ふたみぐん,34
34002,広島市,ひろしまし,34
34003,高田郡,たかたぐん,34
34004,安佐郡,あさぐん,34
34005,神石郡,じんせきぐん,34
34006,世羅郡,せらぐん,34
34007,安芸郡,あきぐん,34
34008,比婆郡,ひばぐん,34
34009,賀茂郡,かもぐん,34
34010,甲奴郡,こうぬぐん,34
34011,深安郡,ふかやすぐん,34
34012,御調郡,みつぎぐん,34
34013,佐伯郡,さえきぐん,34
34014,芦品郡,あしなぐん,34
34015,豊田郡,とよたぐん,34
34016,山県郡,やまがたぐん,34
34017,沼隈郡,ぬまくまぐん,34
35001,都濃郡,つのぐん,35
35002,豊浦郡,とようらぐん,35
35003,吉敷郡,よしきぐん,35
35004,熊毛郡,くまげぐん,35
35005,佐波郡,さばぐん,35
35006,大島郡,おおしまぐん,35
35007,阿武郡,あぶぐん,35
35008,厚狭郡,あさぐん,35
35009,大津郡,おおつぐん,35
35010,玖珂郡,くがぐん,35
35011,美祢郡,みねぐん,35
36001,那賀郡,なかぐん,36
36002,美馬郡,みまぐん,36
36003,三好郡,みよしぐん,36
36004,海部郡,かいふぐん,36
36005,阿波郡,あわぐん,36
36006,板野郡,いたのぐん,36
36007,麻植郡,おえぐん,36
37001,三豊郡,みとよぐん,37
37002,小豆郡,しょうずぐん,37
37003,綾歌郡,あやうたぐん,37
37004,仲多度郡,なかたどぐん,37
37005,大川郡,おおかわぐん,37
37006,木田郡,きたぐん,37
37007,香川郡,かがわぐん,37
38001,西宇和郡,にしうわぐん,38
38002,上浮穴郡,かみうけなぐん,38
38003,南宇和郡,みなみうわぐん,38
38004,周桑郡,しゅうそうぐん,38
38005,北宇和郡,きたうわぐん,38
38006,喜多郡,きたぐん,38
38007,越智郡,おちぐん,38
38008,温泉郡,おんせんぐん,38
38009,東宇和郡,ひがしうわぐん,38
38010,伊予郡,いよぐん,38
38011,宇摩郡,うまぐん,38
39001,吾川郡,あがわぐん,39
39002,土佐郡,とさぐん,39
39003,高岡郡,たかおかぐん,39
39004,香美郡,かみぐん,39
39005,幡多郡,はたぐん,39
39006,長岡郡,ながおかぐん,39
40001,朝倉郡,あさくらぐん,40
40002,筑紫郡,ちくしぐん,40
40003,北九州市,きたきゅうしゅうし,40
40004,山門郡,やまとぐん,40
40005,築上郡,ちくじょうぐん,40
40006,福岡市,ふくおかし,40
40007,京都郡,みやこぐん,40
40008,糸島郡,いとしまぐん,40
40009,八女郡,やめぐん,40
40010,嘉穂郡,かほぐん,40
40011,三井郡,みいぐん,40
40012,三潴郡,みづまぐん,40
40013,浮羽郡,うきはぐん,40
40014,早良郡,さわらぐん,40
40015,田川郡,たがわぐん,40
40016,宗像郡,むなかたぐん,40
40017,三池郡,みいけぐん,40
40018,鞍手郡,くらてぐん,40
40019,糟屋郡,かすやぐん,40
41001,東松浦郡,ひがしまつうらぐん,41
41002,神埼郡,かんざきぐん,41
41003,佐賀郡,さがぐん,41
41004,小城郡,おぎぐん,41
41005,西松浦郡,にしまつうらぐん,41
41006,杵島郡,きしまぐん,41
41007,三養基郡,みやきぐん,41
41008,藤津郡,ふじつぐん,41
42001,対馬支庁,つしましちょう,42
42002,南松浦郡,みなみまつうらぐん,42
42003,西彼杵郡,にしそのぎぐん,42
42004,南高来郡,みなみたかきぐん,42
42005,北松浦郡,きたまつうらぐん,42
42006,北高来郡,きたたかきぐん,42
42007,壱岐郡,いきぐん,42
43001,熊本市,くまもとし,43
43002,上益城郡,かみましきぐん,43
43003,葦北郡,あしきたぐん,43
43004,球磨郡,くまぐん,43
43005,菊池郡,きくちぐん,43
43006,天草郡,あまくさぐん,43
43007,下益城郡,しもましきぐん,43
43008,玉名郡,たまなぐん,43
43009,阿蘇郡,あそぐん,43
43010,宇土郡,うとぐん,43
43011,八代郡,やつしろぐん,43
43012,鹿本郡,かもとぐん,43
43013,飽託郡,ほうたくぐん,43
44001,宇佐郡,うさぐん,44
44002,大野郡,おおのぐん,44
44003,南海部郡,みなみあまべぐん,44
44004,東国東郡,ひがしくにさきぐん,44
44005,直入郡,なおいりぐん,44
44006,北海部郡,きたあまべぐん,44
44007,大分郡,おおいたぐん,44
44008,下毛郡,しもげぐん,44
44009,日田郡,ひたぐん,44
44010,速見郡,はやみぐん,44
44011,西国東郡,にしくにさきぐん,44
45001,南那珂郡,みなみなかぐん,45
45002,北諸県郡,きたもろかたぐん,45
45003,西諸県郡,にしもろかたぐん,45
45004,宮崎郡,みやざきぐん,45
45005,東臼杵郡,ひがしうすきぐん,45
45006,東諸県郡,ひがしもろかたぐん,45
45007,児湯郡,こゆぐん,45
46001,姶良郡,あいらぐん,46
46002,曽於郡,そおぐん,46
46003,揖宿郡,いぶすきぐん,46
46004,肝属郡,きもつきぐん,46
46005,薩摩郡,さつまぐん,46
46006,大島郡,おおしまぐん,46
46007,鹿児島郡,かごしまぐん,46
46008,熊毛郡,くまげぐん,46
46009,出水郡,いずみぐん,46
46010,日置郡,ひおきぐん,46
46011,川辺郡,かわなべぐん,46
46012,伊佐郡,いさぐん,46
47001,島尻郡,しまじりぐん,47
47002,中頭郡,なかがみぐん,47
47003,宮古郡,みやこぐん,47
47004,国頭郡,くにがみぐん,47
